MA_practice,corrAns,corrAns2,MA_baseline,MA_exp,corrAns3,Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,Baseline_block.thisRepN,Baseline_block.thisTrialN,Baseline_block.thisN,Baseline_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,session_number_key.keys,session_number_key.corr,session_number_key.rt,trial_key.keys,trial_key.corr,trial_key.rt,basetrial_key.keys,basetrial_key.corr,basetrial_key.rt,Mani_key.keys,Mani_key.rt,exptrial_key.keys,exptrial_key.corr,exptrial_key.rt,date,frameRate,expName,session,participant,
,,z,18=11 (mod 7),15=11 (mod 4),z,,,,,0,19,19,16,,,,,,,,,,,m,0,1.69947156112,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,22=18 (mod 4),26=22 (mod 4),z,,,,,0,20,20,22,,,,,,,,,,,z,1,1.19966963821,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,6=3 (mod 2),9=7 (mod 4),m,,,,,0,21,21,3,,,,,,,,,,,z,0,1.76611085318,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,78=74 (mod 2),77=73 (mod 2),m,,,,,0,22,22,17,,,,,,,,,,,z,0,1.46618294485,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,9=2 (mod 7),8=4 (mod 4),z,,,,,0,23,23,2,,,,,,,,,,,m,0,1.11638673794,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.2121183983,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,67=33 (mod 2),62=32 (mod 3),z,,,,,,,,,0,0,0,8,,,,,,,,,,,,z,1,1.61614479925,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,4=1 (mod 3),8=6 (mod 2),z,,,,,,,,,0,1,1,4,,,,,,,,,,,,z,1,0.849878097433,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,95=58 (mod 3),95=58 (mod 3),z,,,,,,,,,0,2,2,12,,,,,,,,,,,,z,1,2.38224725341,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,8=4 (mod 5),8=3 (mod 5),m,,,,,,,,,0,3,3,1,,,,,,,,,,,,z,0,1.91612310176,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,42=22 (mod 5),49=24 (mod 5),z,,,,,,,,,0,4,4,10,,,,,,,,,,,,z,1,1.76611411945,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,m,54=43 (mod 4),50=41 (mod 3),m,,,,,,,,,0,5,5,15,,,,,,,,,,,,m,1,1.5995515852,2016_Sep_15_1604,60.0280939,MA task,,taylor,
